asin,title,isBestSelling,category_id,category_name,category_type
0517027801,Victorian Needlepoint,false,8,Needlework Supplies,Crafts_Sewing
0534362745,Organic Chemistry (with InfoTrac and CD-ROM),false,74,eBook Readers & Accessories,Others
0544005031,The Essential Scratch & Sniff Guide To Becoming A Wine Expert: Take a Whiff of That,false,74,eBook Readers & Accessories,Others
0545112141,Petz Vet,false,248,Mac Games & Accessories,Gaming
054519864X,Vocabulary Packets: Prefixes & Suffixes: Ready-to-Go Learning Packets That Teach 50 Key Prefixes and Suffixes and Help Students Unlock the Meaning of Dozens and Dozens of Must-Know Vocabulary Words,false,145,"Test, Measure & Inspect",Others
0545214912,Something Upstairs,false,263,PC Games & Accessories,Gaming
0545449367,Paper Flying Dragons (Klutz Activity Kit) Medium,false,219,Arts & Crafts Supplies,Arts_Crafts
054546823X,Hot Wheels: Double Duel,false,236,Kids' Play Cars & Race Cars,Baby_Kids
0545468248,Hot Wheels: Shark Attack,false,236,Kids' Play Cars & Race Cars,Baby_Kids
0545498562,"Make Clay Charms (Klutz Craft Kit) 8"" Length x 1.19"" Width x 9"" Height",false,219,Arts & Crafts Supplies,Arts_Crafts
0545540860,Call of duty ghost,false,245,"Xbox 360 Games, Consoles & Accessories",Gaming
0545561639,Klutz Nail Style Studio Book Kit,false,270,Toys & Games,Gaming
0545561647,"Klutz Pom-Pom Puppies Craft Kit, 8"" Length x 1.5"" Width x 9"" Height, Natural",false,219,Arts & Crafts Supplies,Arts_Crafts
0545692148,Klutz The Marvelous Book of Magical Mermaids Activity Kit,false,219,Arts & Crafts Supplies,Arts_Crafts
0545703190,Mini POM-POM Pets,false,5,Scrapbooking & Stamping Supplies,Arts_Crafts
0545703212,String Art: Turn String and Pins Into Works of Art,false,219,Arts & Crafts Supplies,Arts_Crafts
0545703301,"LEGO Chain Reactions (Klutz Science/STEM Activity Kit), 9"" Length x 1.06"" Width x 10"" Height",false,270,Toys & Games,Gaming
0545906520,"Klutz Sew Mini Treats Craft Kit, 8"" Length x 1.5"" Width x 9"" Height",false,270,Toys & Games,Gaming
0553524429,Ready for Pumpkins,false,74,eBook Readers & Accessories,Others
0557069750,"Well Played 1.0: Video Games, Value and Meaning",false,74,eBook Readers & Accessories,Others
0557689759,Lamb of God: New American Gospel,false,74,eBook Readers & Accessories,Others
057851821X,My Medic Stay Alive Guide | First-Aid & Survival Handbook | Emergency | Life Saving I,false,152,Occupational Health & Safety Products,Health_Beauty
0578518279,"Meditation Cards for Kids - Award-Winning Mindfulness kit of XL Cards with Calming Guided Meditations for Empowerment, Focus and Relaxation. Great for Parents, Teachers and Therapists.",false,270,Toys & Games,Gaming
0578538946,Shine from The Inside Oracle: A 44-Card Deck and Guidebook,false,223,Games & Accessories,Gaming
0578731541,Pedi-Wheel Pediatric Emergency Pocket Reference,false,158,Professional Medical Supplies,Others
0578817187,"Meditation Kit for Kids - Award-Winning Mindfulness kit of XL Cards with Calming Guided Meditations for Empowerment, Focus and Relaxation. Great for Parents, Teachers and Therapists.",false,270,Toys & Games,Gaming
0593235967,Renunciation: A Game of Capitalism and Karma,false,255,Video Games,Gaming
0593297741,To Risk It All: Nine Conflicts and the Crucible of Decision,false,263,PC Games & Accessories,Gaming
0593374169,Five Survive,false,74,eBook Readers & Accessories,Others
059449771X,Barnes & Noble Replacement Charging Sync Cable for Nook HD and HD+ (5 Feet),false,74,eBook Readers & Accessories,Others
0615210007,The Advent Book,false,74,eBook Readers & Accessories,Others
0615638996,Mad Dragon: an Anger Control Card Game,false,223,Games & Accessories,Gaming
0618170286,Research Methods in Psychology,false,142,Abrasive & Finishing Products,Others
0641699840,Thoughts and Feelings: A Sentence Completion Card Game Card Games,false,223,Games & Accessories,Gaming
0646804286,Classic Tarot Cards Deck | Tarot Cards for Beginners | Tarot Cards with Guide Book (Online Tarot Decks Guidebook) | Tarot Card Deck Set | Unique Tarot Deck,false,218,Novelty Toys & Amusements,Toys_Games
0648268500,DITTY BIRD Jingle Bells Songs Book | Christmas Songs | 1 Year Old boy Girl Gifts,false,224,Learning & Education Toys,Toys_Games
0648268519,DITTY BIRD Animal Sound Book for Infants and Babies | Touch and Feel Baby Book | Animal Books for Toddlers 1-3 | Sound Book | Infant,false,230,Baby & Toddler Toys,Baby_Kids
0648268578,DITTY BIRD Baby Musical Sound Toy | Music for Infants and Babies | Books for Toddler 1-3 | Sound Books for Toddlers | Interactive Musical Toy,false,230,Baby & Toddler Toys,Baby_Kids
0648268586,DITTY BIRD I am a Little Tea Pot Nursery Rhymes Book for Babies | Musical Book for Toddlers 1-3 | Interactive Baby Learning Toy | Books with Sound | Sing Along Books,false,230,Baby & Toddler Toys,Baby_Kids
0648268594,DITTY BIRD T-Rex Dinosaur Books for 1 Year Old | Sound Books for Toddlers 1-3 | Interactive Books for 2 Year olds | Perfect for Dino Lover Kids!,false,230,Baby & Toddler Toys,Baby_Kids
0648692728,DITTY BIRD Yankee Doodle Nursery Rhymes Book for Babies | Patriotic Songs Book | Books for Toddlers 1-3 | Musical Toys for Toddlers | American Songs for Kids | Sing Along Books with Sound,false,230,Baby & Toddler Toys,Baby_Kids
0648692744,DITTY BIRD Baby Hey Diddle Sound Book | Funny Songs Musical Book for Babies | Perfect Toys for 1 Year Old boy Girl Gifts | Interactive Educational Music Toy for Toddlers 1-3,false,270,Toys & Games,Gaming
0670445800,Madeline,false,72,Office Electronics,Electronics
0678462046,"Elsie Silver Chestnut Springs Series 3 Books Collection Set (Heartless, Flawless, Powerless)",false,250,Legacy Systems,Others
0681965959,"School Zone Spanish English Bilingual Flash Cards 8-Pack (Addition, Subtraction 0-10, Multiplication 0-20, Go Fish, Alphabet, Numbers 1-50, Basic Sight Words, & Colors & Shapes",false,270,Toys & Games,Gaming
068415238X,Needlepoint Designs from American Indian Art,false,8,Needlework Supplies,Crafts_Sewing
0684835819,My Story,false,74,eBook Readers & Accessories,Others
0685774856,Sequin Fabric by The Yard Flip Sequin Fabric for Dress Glitter Green Sequin Fabric for Sewing Mesh Sequins Material by The Yard for DIY The Wedding Dress,false,7,Craft & Hobby Fabric,Crafts_Sewing
0689117353,Memoirs of an Invisible Man,false,74,eBook Readers & Accessories,Others
0692164308,Bao Bao Learns Chinese Vol. 1 | Musical Chinese Book & Bilingual Toy Gift for Babies & Toddlers; Learn Chinese Nursery Rhymes for Kids; Mandarin Chinese Board Book for Learning Chinese,false,230,Baby & Toddler Toys,Baby_Kids
0692274901,Tummy Time Playboard + Art Cards,false,230,Baby & Toddler Toys,Baby_Kids
0692466932,"3Doodler ""What Will You Create? Project Book",false,157,Additive Manufacturing Products,Others
0692986014,"The Birth Deck: 50 Ways to Comfort a Woman in Labor, by Sara Lyon",false,224,Learning & Education Toys,Toys_Games
0696046652,Cross-Stitch,false,8,Needlework Supplies,Crafts_Sewing
0696205114,Heirloom Christmas Stockings in Cross-Stitch: From Cross Stitch & Country Crafts Magazine,false,8,Needlework Supplies,Crafts_Sewing
069620780X,2001 Cross Stitch Designs : The Essential Reference Book,false,8,Needlework Supplies,Crafts_Sewing
0715327003,Fantasy Cross Stitch,false,8,Needlework Supplies,Crafts_Sewing
0715329278,Bewitching Cross Stitch,false,8,Needlework Supplies,Crafts_Sewing
0715330144,Cross Stitch Cards 100,false,8,Needlework Supplies,Crafts_Sewing
0715332899,"F & W Media David and Charles Books, Cross Stitch Greeting Cards",false,8,Needlework Supplies,Crafts_Sewing
0715399837,Alphabets & Samplers: 40 Cross Stitch and Charted Designs,false,8,Needlework Supplies,Crafts_Sewing
0735330972,"Mudpuppy On the Farm Pouch Puzzle – 12 Pieces, 14” x 11”, Great for Kids Ages 2-4 – Travel-Friendly, Reusable, Zippered Pouch, 1 EA",false,270,Toys & Games,Gaming
0735333416,"Galison Avian Friends 1000 Piece Jigsaw Puzzle, Multicolor, 1 EA",false,227,Puzzles,Others
