category_type,asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
Others,B01BYKUI9C,"HP 65 Black Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K02AN",https://m.media-amazon.com/images/I/61GAiSy74WL._AC_UL320_.jpg,https://www.amazon.com/dp/B01BYKUI9C,4.7,0,0,0,76,false,20000
Others,B0B283QP2N,"iPhone Charger fast charging [APPLE MFi Certified] 2 pack Apple Type C Wall Charger Block with 2 pack [6FT&10FT] Long USB C to lightning cable for iPhone 14/13/12/12 Pro Max/11/Xs Max/XR/X,AirPods Pro",https://m.media-amazon.com/images/I/61N-uGtPpAL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B283QP2N,4.5,0,12.5,20.99,76,false,0
Others,B0BKPZB5KG,"Ximytec iPhone Charger Fast Charging [MFi Certified], 2Pack 20W PD USB C Wall Charger Block with 6FT Type-C to Lightning Cables Compatible with iPhone 14/13/ 12/11/ XS/XR/X/ 8 /iPad,White",https://m.media-amazon.com/images/I/51szWBozLKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKPZB5KG,4.4,0,9.89,19.99,76,false,0
Others,B0722C491T,"HP 64XL Tri-color High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J91AN",https://m.media-amazon.com/images/I/711IFEnU70L._AC_UL320_.jpg,https://www.amazon.com/dp/B0722C491T,4.7,0,49.89,0,76,false,10000
Others,B09LCJPZ1P,"Anker USB C Charger Cable (6ft 100W, 2Pack), USB 2.0 Type C Fast Charging Cable for iPhone 15 / 15Pro / 15Plus / 15ProMax MacBook Pro 2020, iPad Pro 2020, iPad Air 4, Samsung Galaxy S23+/S23 Ultra",https://m.media-amazon.com/images/I/817SQA+7+vL._AC_UL320_.jpg,https://www.amazon.com/dp/B09LCJPZ1P,4.7,0,15.99,0,76,false,0
Others,B071Y72MNW,"HP 64 Black Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J90AN",https://m.media-amazon.com/images/I/711fH7nradL._AC_UL320_.jpg,https://www.amazon.com/dp/B071Y72MNW,4.7,0,18.98,19.99,76,false,20000
Others,B00L1G7LBI,"HP 62XL Black High-yield Ink | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | C2P05AN",https://m.media-amazon.com/images/I/61hLk-jqMbL._AC_UL320_.jpg,https://www.amazon.com/dp/B00L1G7LBI,4.7,0,45.89,0,76,false,10000
Others,B01644VWZM,"HP 62 Black/Tri-color Ink (2-pack) | Works with HP ENVY 5540, 5640, 5660, 7640 Series, HP OfficeJet 5740, 8040 Series, HP OfficeJet Mobile 200, 250 Series | Eligible for Instant Ink | N9H64FN",https://m.media-amazon.com/images/I/61p4FrJDqqL._AC_UL320_.jpg,https://www.amazon.com/dp/B01644VWZM,4.7,0,41.89,0,76,false,10000
Others,B09B1GXM16,"SAMSUNG EVO Select Micro SD-Memory-Card + Adapter, 256GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME256KA/AM)",https://m.media-amazon.com/images/I/71tK21fYkDL._AC_UL320_.jpg,https://www.amazon.com/dp/B09B1GXM16,4.7,0,19.99,24.67,76,false,0
Others,B003H2GBM4,"HP 61 Black Ink Cartridge | Works with DeskJet 1000, 1010, 1050, 1510, 2050, 2510, 2540, 3000, 3050, 3510; ENVY 4500, 5530; OfficeJet 2620, 4630 Series | Eligible for Instant Ink | CH561WN",https://m.media-amazon.com/images/I/61G2C97GV1L._AC_UL320_.jpg,https://www.amazon.com/dp/B003H2GBM4,4.7,0,0,0,76,false,10000
